Word, , Pos, Definition
oleaginously,adjective,containing an unusual amount of grease or oil
effusiveness,noun,"the expression of excessive emotion, enthusiasm, or pleasure "
calumnious,adjective,(used of statements) harmful and often untrue; tending to discredit or malign 
odious,adjective,unequivocally detestable 
plenipotentiary,noun,a diplomat who is fully authorized to represent his or her government 
replete,adjective,filled to satisfaction with food or drink 
enervated,adjective,lacking strength or vigor 
epistolary,adjective,written in the form of or carried on by letters or correspondence 
liveries,noun,uniform worn by some menservants and chauffeurs 
hisdonists,und,und
imbibed,verb,take in liquids 
banal,adjective,repeated too often; overfamiliar through overuse 
barmy,adjective,marked by spirited enjoyment 
opus,noun,a musical work that has been created 
mitogenome,und,und
paraphyletic,und,und
capitulated,verb,surrender under agreed conditions 
admonished,verb,take to task 
flunkeys,noun,a person of unquestioning obedience 
muleted,und,und
aggrandize,verb,add details to 
baubles,noun,cheap showy jewelry or ornament on clothing 
assignats,und,und
febrile,adjective,of or relating to or characterized by fever 
regicides,noun,the act of killing a king 
garrulous,adjective,full of trivial conversation 
implacable,adjective,incapable of being placated 
revanchism,und,und
histrionically,adjective,overly dramatic or emotional 
voluptuary,adjective,displaying luxury and furnishing gratification to the senses 
metes,noun,a line that indicates a boundary 
